IP Address	Number of Adjacencies
84.110.146.212	11
7.137.44.113	3
204.99.221.107	9
150.217.18.185	10
190.45.58.113	8
17.30.26.16	8
46.50.164.50	5
122.227.108.153	11
120.104.213.74	10
185.207.44.198	9
125.92.125.57	5
169.16.29.132	3
242.38.223.139	3
246.57.69.100	5
12.214.62.49	8
142.208.251.231	10
57.65.162.87	4
250.232.77.178	6
127.116.153.176	9
114.140.32.231	7
36.179.139.202	6
145.241.138.104	7
83.45.198.128	4
163.83.79.107	5
145.128.86.234	7
140.217.249.164	7
99.251.197.211	5
20.162.151.46	9
10.197.5.132	6
102.188.250.211	3
198.113.76.25	4
180.79.11.120	6
88.72.44.248	5
211.235.94.223	15
116.171.207.56	5
119.20.195.64	8
117.83.206.69	7
121.90.179.251	6
8.156.153.187	7
44.48.213.169	9
137.182.68.73	4
238.40.208.216	7
131.216.23.16	8
85.135.106.109	8
92.99.39.6	7
253.136.164.56	9
135.146.254.233	10
157.124.202.59	5
114.217.199.40	7
125.241.180.169	8
223.126.237.142	6
235.218.232.37	7
66.210.225.119	3
112.198.32.135	8
198.141.176.104	10
172.198.179.117	4
48.176.90.140	9
144.214.85.66	6
165.111.117.125	6
4.51.213.79	4
8.217.214.74	6
10.205.14.230	11
69.213.61.120	6
89.182.118.101	10
7.19.111.126	8
100.93.246.228	3
80.113.49.58	2
92.58.146.62	4
180.242.186.103	4
182.216.7.128	8
53.125.71.254	8
140.250.228.17	2
7.235.121.84	4
57.183.200.214	4
160.12.143.211	12
222.31.237.136	1
173.97.104.71	8
31.162.199.240	6
234.114.252.94	11
177.113.145.183	8
198.113.115.181	4
142.180.13.72	9
244.98.198.138	9
248.165.101.195	6
44.254.68.243	6
252.13.238.26	4
29.217.52.233	8
8.112.52.181	7
20.181.159.17	6
69.144.75.2	7
74.180.58.98	6
249.117.59.199	6
135.161.2.96	8
80.48.90.141	7
251.72.39.250	3
124.125.52.86	6
59.53.209.104	10
99.24.195.169	8
46.68.38.139	6
4.54.118.114	5
145.222.117.93	4
195.91.127.41	6
172.51.16.222	9
184.209.71.53	10
196.173.55.103	8
25.53.23.102	5
55.228.224.133	8
142.128.245.238	1
184.54.71.170	6
201.202.45.34	6
28.93.253.193	7
132.92.166.133	5
180.156.135.247	9
238.113.193.92	8
132.47.135.55	3
5.191.141.31	4
135.108.56.172	5
184.227.61.129	5
66.164.39.24	9
207.16.37.122	3
235.193.32.94	4
15.138.87.16	3
63.28.154.246	8
65.79.39.227	6
76.30.63.105	8
71.88.27.241	7
126.24.1.149	6
128.130.224.115	10
43.62.13.35	8
190.25.109.38	14
127.95.194.65	5
172.230.161.59	11
70.240.51.134	7
222.144.162.251	3
239.61.244.12	7
205.192.107.137	7
228.150.9.223	7
241.98.21.221	6
251.226.50.141	8
251.246.71.28	8
99.240.64.104	4
122.50.193.238	8
25.243.120.91	3
251.251.197.54	7
198.217.172.171	9
136.97.91.161	14
179.95.20.48	7
162.79.203.121	8
217.27.169.114	4
253.40.230.160	7
14.135.86.175	7
63.247.5.145	6
29.46.10.252	7
